src_id,relation,dst_id,segment_position
document:1,HAS_SEGMENT,segment:1_1,1
document:1,HAS_SEGMENT,segment:1_2,2
document:1,HAS_SEGMENT,segment:1_3,3
document:1,HAS_SEGMENT,segment:1_4,4
document:2,HAS_SEGMENT,segment:2_1,1
document:2,HAS_SEGMENT,segment:2_2,2
document:2,HAS_SEGMENT,segment:2_3,3
document:3,HAS_SEGMENT,segment:3_1,1
document:3,HAS_SEGMENT,segment:3_2,2
document:4,HAS_SEGMENT,segment:4_1,1
document:5,HAS_SEGMENT,segment:5_1,1
document:5,HAS_SEGMENT,segment:5_2,2
document:5,HAS_SEGMENT,segment:5_3,3
document:5,HAS_SEGMENT,segment:5_4,4
document:5,HAS_SEGMENT,segment:5_5,5
document:5,HAS_SEGMENT,segment:5_6,6
document:5,HAS_SEGMENT,segment:5_7,7
document:5,HAS_SEGMENT,segment:5_8,8
document:5,HAS_SEGMENT,segment:5_9,9
document:5,HAS_SEGMENT,segment:5_10,10
document:5,HAS_SEGMENT,segment:5_11,11
document:5,HAS_SEGMENT,segment:5_12,12
document:6,HAS_SEGMENT,segment:6_1,1
document:6,HAS_SEGMENT,segment:6_2,2
document:7,HAS_SEGMENT,segment:7_1,1
document:7,HAS_SEGMENT,segment:7_2,2
document:8,HAS_SEGMENT,segment:8_1,1
document:8,HAS_SEGMENT,segment:8_2,2
document:8,HAS_SEGMENT,segment:8_3,3
document:9,HAS_SEGMENT,segment:9_1,1
document:9,HAS_SEGMENT,segment:9_2,2
document:10,HAS_SEGMENT,segment:10_1,1
document:10,HAS_SEGMENT,segment:10_2,2
document:10,HAS_SEGMENT,segment:10_3,3
document:10,HAS_SEGMENT,segment:10_4,4
document:10,HAS_SEGMENT,segment:10_5,5
document:10,HAS_SEGMENT,segment:10_6,6
document:11,HAS_SEGMENT,segment:11_1,1
document:11,HAS_SEGMENT,segment:11_2,2
document:11,HAS_SEGMENT,segment:11_3,3
document:12,HAS_SEGMENT,segment:12_1,1
document:12,HAS_SEGMENT,segment:12_2,2
document:13,HAS_SEGMENT,segment:13_1,1
document:13,HAS_SEGMENT,segment:13_2,2
document:13,HAS_SEGMENT,segment:13_3,3
document:14,HAS_SEGMENT,segment:14_1,1
document:14,HAS_SEGMENT,segment:14_2,2
document:14,HAS_SEGMENT,segment:14_3,3
document:14,HAS_SEGMENT,segment:14_4,4
document:14,HAS_SEGMENT,segment:14_5,5
document:14,HAS_SEGMENT,segment:14_6,6
document:14,HAS_SEGMENT,segment:14_7,7
document:14,HAS_SEGMENT,segment:14_8,8
document:14,HAS_SEGMENT,segment:14_9,9
document:14,HAS_SEGMENT,segment:14_10,10
document:14,HAS_SEGMENT,segment:14_11,11
document:14,HAS_SEGMENT,segment:14_12,12
document:14,HAS_SEGMENT,segment:14_13,13
document:14,HAS_SEGMENT,segment:14_14,14
document:14,HAS_SEGMENT,segment:14_15,15
document:14,HAS_SEGMENT,segment:14_16,16
